Date	Ticker	Change %	Stock Exchange
2026-06-18	VIAV	-7.127	nasdaq stocks
2026-06-18	BB	-6.837	nyse stocks
2026-06-18	TRAX	-6.795	nasdaq stocks
2026-06-18	NNAVW	-6.723	nasdaq stocks
2026-06-18	NG	-6.715	nysemkt stocks
2026-06-18	PLBL	-6.675	nasdaq stocks
2026-06-18	SII	-6.664	nyse stocks
2026-06-18	USAS	-6.62	nysemkt stocks
2026-06-18	RXT	-6.598	nasdaq stocks
2026-06-18	EPAM	-6.548	nyse stocks
2026-06-18	PURR	-6.533	nasdaq stocks
2026-06-18	ICFI	-6.528	nasdaq stocks
2026-06-18	WKEY	-6.5	nasdaq stocks
2026-06-18	GDYN	-6.446	nasdaq stocks
2026-06-18	LHX	-6.442	nyse stocks
2026-06-18	ORLA	-6.379	nysemkt stocks
2026-06-18	VIVO	-6.357	nasdaq stocks
2026-06-18	CRAI	-6.174	nasdaq stocks
2026-06-18	ALMU	-6.168	nasdaq stocks
2026-06-18	TSXD	-6.15	nyse stocks
2026-06-18	OPTX	-6.124	nasdaq stocks
2026-06-18	SLON	-6.047	nyse stocks
2026-06-18	KPTI	-6.042	nasdaq stocks
2026-06-18	AVTX	-6.003	nasdaq stocks
2026-06-18	CCOI	-5.964	nasdaq stocks
2026-06-18	SPRC	-5.964	nasdaq stocks
2026-06-18	SEAT	-5.956	nasdaq stocks
2026-06-18	GHM	-5.954	nyse stocks
2026-06-18	STRK	-5.953	nasdaq stocks
2026-06-18	SMX	-5.924	nasdaq stocks
2026-06-18	ATEX	-5.896	nasdaq stocks
2026-06-18	UONE	-5.864	nasdaq stocks
2026-06-18	MORN	-5.859	nasdaq stocks
2026-06-18	OCUL	-5.85	nasdaq stocks
2026-06-18	CEPT	-5.847	nasdaq stocks
2026-06-18	VOXR	-5.844	nasdaq stocks
2026-06-18	LEGN	-5.833	nasdaq stocks
2026-06-18	HUN	-5.777	nyse stocks
2026-06-18	TIGO	-5.75	nasdaq stocks
2026-06-18	TDIC	-5.719	nasdaq stocks
2026-06-18	FRVO	-5.621	nasdaq stocks
2026-06-18	NVA	-5.611	nasdaq stocks
2026-06-18	BAH	-5.591	nyse stocks
2026-06-18	BVN	-5.565	nyse stocks
2026-06-18	CTSH	-5.558	nasdaq stocks
2026-06-18	NOC	-5.549	nyse stocks
2026-06-18	MMS	-5.541	nyse stocks
2026-06-18	STX	-5.534	nasdaq stocks
2026-06-18	NVAX	-5.53	nasdaq stocks
2026-06-18	CNL	-5.521	nysemkt stocks
2026-06-18	VNET	-5.502	nasdaq stocks
2026-06-18	EFOR	-5.474	nyse stocks
2026-06-18	OMC	-5.472	nyse stocks
2026-06-18	TYRA	-5.47	nasdaq stocks
2026-06-18	ACDC	-5.452	nasdaq stocks
2026-06-18	PPHC	-5.434	nasdaq stocks
2026-06-18	ASTS	-5.428	nasdaq stocks
2026-06-18	TOYO	-5.419	nasdaq stocks
2026-06-18	CENX	-5.413	nasdaq stocks
2026-06-18	IAG	-5.381	nyse stocks
2026-06-18	EQX	-5.339	nysemkt stocks
2026-06-18	WLDN	-5.319	nasdaq stocks
2026-06-18	OLN	-5.293	nyse stocks
2026-06-18	GRRR	-5.269	nasdaq stocks
2026-06-18	WATT	-5.265	nasdaq stocks
2026-06-18	VHI	-5.252	nyse stocks
2026-06-18	QURE	-5.228	nasdaq stocks
2026-06-18	CGAU	-5.206	nyse stocks
2026-06-18	DOCN	-5.203	nyse stocks
2026-06-18	UXRP	-5.134	nyse stocks
2026-06-18	LUCK	-5.125	nyse stocks
2026-06-18	IDR	-5.112	nysemkt stocks
2026-06-18	PSN	-5.055	nyse stocks
2026-06-18	CIEN	-5.009	nyse stocks
2026-06-18	CRT	-5.0	nyse stocks
2026-06-17	VRXA	-31.412	nasdaq stocks
2026-06-17	RGNT	-28.612	nysemkt stocks
2026-06-17	EXOZ	-22.899	nasdaq stocks
2026-06-17	UBXG	-21.376	nasdaq stocks
2026-06-17	WTO	-19.821	nasdaq stocks
2026-06-17	UPLD	-17.081	nasdaq stocks
2026-06-17	LOFF	-16.586	nyse stocks
2026-06-17	AGPU	-15.143	nasdaq stocks
2026-06-17	ROOT	-14.885	nasdaq stocks
2026-06-17	DGICB	-14.575	nasdaq stocks
2026-06-17	BNR	-13.407	nasdaq stocks
2026-06-17	PBLS	-12.867	nasdaq stocks
2026-06-17	RGC	-11.786	nasdaq stocks
2026-06-17	SUJA	-11.004	nasdaq stocks
2026-06-17	DMRC	-9.763	nasdaq stocks
2026-06-17	JBL	-9.065	nyse stocks
2026-06-17	GENI	-8.957	nyse stocks
2026-06-17	USLV	-8.952	nyse stocks
2026-06-17	ARCB	-8.798	nasdaq stocks
